Year, TotVolume , Totvalue ,DividendPaid, DividendYield ,SECTOR
2023," 6,575,187,002.00 "," 95,440,081,339.65 ",124.82," 69,651,221,790.02 ",OIL AND GAS
2023," 3,116,456,998.00 "," 14,407,425,879.34 ",2.215," 4,586,826,069.42 ",SERVICES
2023," 355,408,001.00 "," 95,791,848,750.50 ",8," 20,000,000,000.00 ",UTILITIES
2024," 3,262,344,095.00 "," 43,808,351,507.85 ",24," 22,893,840,000.00 ",AGRICULTURE
2024," 7,505,365,791.00 "," 113,857,448,286.18 ",1.22," 7,381,639,835.12 ",CONGLOMERATES
2024," 1,957,831,713.00 "," 51,729,003,264.48 ",3.08," 4,803,600,000.00 ",CONSTRUCTION/REAL ESTATE
2024," 5,970,446,557.00 "," 199,254,582,867.09 ",10.15," 112,774,525,816.75 ",CONSUMER GOODS
2024," 18,731,008.00 "," 870,690,511.34 ",0, -   ,ETPS
2024," 87,449,863,742.00 "," 1,356,948,191,835.66 ",22.9," 713,092,107,655.74 ",FINANCIAL SERVICES
2024," 7,375,883.00 "," 7,316,591,685.52 ",0, -   ,FIXED INCOME SECURITIES
2024," 589,725,533.00 "," 3,637,086,520.42 ",1.05," 2,494,568,230.80 ",HEALTHCARE
2024," 4,048,683,597.00 "," 131,979,348,330.15 ",96.29," 361,675,076,296.96 ",ICT
2024," 2,444,335,196.00 "," 110,163,757,240.01 ",36.9," 607,309,143,696.90 ",INDUSTRIAL GOODS
2024," 19,392,261.00 "," 1,541,928,758.80 ",0, -   ,INVESTMENT
2024," 100,873,625.00 "," 802,057,511.18 ",0.55," 296,031,199.40 ",NATURAL RESOURCES
2024," 8,635,630,755.00 "," 411,326,942,127.97 ",269.66," 184,952,045,804.18 ",OIL AND GAS
2024," 4,821,085,520.00 "," 34,009,285,329.18 ",3.765," 9,221,434,682.25 ",SERVICES
2024," 400,004,200.00 "," 154,283,659,203.70 ",12.63," 54,725,000,000.00 ",UTILITIES
2025," 5,417,283,066.00 "," 186,189,368,762.45 ",138," 134,958,060,000.00 ",AGRICULTURE
2025," 2,136,881,727.00 "," 82,644,978,905.55 ",2.57," 18,746,263,201.57 ",CONGLOMERATES
2025," 1,791,537,766.00 "," 21,579,669,174.69 ",3.25," 5,200,000,000.00 ",CONSTRUCTION/REAL ESTATE
2025," 8,604,782,501.00 "," 381,678,721,033.32 ",18.15," 251,398,101,521.65 ",CONSUMER GOODS
2025," 9,505,965.00 "," 856,183,663.26 ",0, -   ,ETPS
2025," 100,056,030,983.00 "," 1,856,136,894,549.37 ",33.51," 1,041,514,485,693.58 ",FINANCIAL SERVICES
2025," 7,325,360.00 "," 6,874,949,958.84 ",0, -   ,FIXED INCOME SECURITIES
2025," 1,053,540,800.00 "," 13,161,272,830.89 ",1.4," 2,985,090,229.40 ",HEALTHCARE
2025," 5,938,036,268.00 "," 262,424,737,429.18 ",103.065," 387,427,629,901.97 ",ICT
2025," 3,611,922,130.00 "," 261,176,502,727.34 ",40.8," 643,099,439,170.10 ",INDUSTRIAL GOODS
2025," 1,021,985,959.00 "," 15,637,227,796.85 ",2.5," 19,002,736,500.00 ",INVESTMENT
2025," 228,441,427.00 "," 1,851,993,129.16 ",0.1," 42,619,386.80 ",NATURAL RESOURCES
2025," 6,837,427,478.00 "," 510,960,946,273.51 ",316.69," 261,967,329,641.09 ",OIL AND GAS
2025," 10,065,858,618.00 "," 73,331,799,011.46 ",8.72," 21,710,472,429.52 ",SERVICES
2025," 197,375,560.00 "," 132,592,835,365.60 ",13.5," 58,750,000,000.00 ",UTILITIES
